Time,Position Reference,Velocity Reference
11.945243,0.48514,0.0
11.952652,0.48514,0.0
11.967543,0.48514,0.0
11.973923,0.48514,0.0
11.985247,0.48514,0.0
11.993806,0.48514,0.0
12.00432,0.48514,0.0
12.012644,0.48514,0.0
12.027064,0.48514,0.0
12.034489,0.48514,0.0
12.045146,0.48514,0.0
12.0542,0.48514,0.0
12.065263,0.48514,0.0
12.073635,0.48514,0.0
12.085397,0.48514,0.0
12.093866,0.48514,0.0
12.104079,0.48514,0.0
12.117404,0.48514,0.0
12.123229,0.48514,0.0
12.134852,0.48514,0.0
12.143061,0.48514,0.0
12.153444,0.48514,0.0
12.164364,0.48514,0.0
12.174889,0.48514,0.0
12.183768,0.48514,0.0
12.197763,0.48514,0.0
12.219802,0.48514,0.0
12.223687,0.48514,0.0
12.224911,0.48514,0.0
12.235084,0.48514,0.0
12.243476,0.48514,0.0
12.260738,0.48514,0.0
12.265024,0.48514,0.0
12.281833,0.48514,0.0
12.285194,0.48514,0.0
12.294413,0.48514,0.0
12.317568,0.48514,0.0
12.32237,0.48514,0.0
12.323874,0.48514,0.0
12.336193,0.48514,0.0
12.343185,0.48514,0.0
12.354726,0.48514,0.0
12.364284,0.48514,0.0
12.376816,0.48514,0.0
12.383341,0.48514,0.0
12.393171,0.48514,0.0
12.406473,0.48514,0.0
12.416822,0.48514,0.0
12.424533,0.48514,0.0
12.435181,0.48514,0.0
12.44419,0.48514,0.0
12.452621,0.48514,0.0
12.465408,0.48514,0.0
12.473839,0.48514,0.0
12.483846,0.02794,0.0
12.493409,0.02794,0.0
12.507677,0.02794,0.0
12.513919,0.02794,0.0
12.524215,0.02794,0.0
12.532673,0.02794,0.0
12.54526,0.02794,0.0
12.553072,0.02794,0.0
12.56412,0.02794,0.0
12.574284,0.02794,0.0
12.58521,0.02794,0.0
12.593058,0.02794,0.0
12.605202,0.02794,0.0
12.61333,0.02794,0.0
12.623499,0.02794,0.0
12.63463,0.02794,0.0
12.644841,0.02794,0.0
12.653737,0.02794,0.0
12.664422,0.02794,0.0
12.675961,0.02794,0.0
12.683271,0.02794,0.0
12.695255,0.02794,0.0
12.704338,0.02794,0.0
12.712719,0.02794,0.0
12.725595,0.02794,0.0
12.73325,0.02794,0.0
12.744486,0.02794,0.0
12.75608,0.02794,0.0
12.76445,0.02794,0.0
12.775351,0.02794,0.0
12.784462,0.02794,0.0
12.79241,0.02794,0.0
12.803382,0.02794,0.0
12.816976,0.02794,0.0
12.824059,0.02794,0.0
12.834629,0.02794,0.0
12.843162,0.02794,0.0
12.854607,0.02794,0.0
12.864615,0.02794,0.0
12.873849,0.02794,0.0
12.883082,0.02794,0.0
12.89601,0.02794,0.0
12.90459,0.02794,0.0
12.916476,0.02794,0.0
12.923723,0.02794,0.0
12.934736,0.02794,0.0
12.945488,0.02794,0.0
12.95826,0.02794,0.0
12.968172,0.02794,0.0
12.97378,0.02794,0.0
12.98428,0.02794,0.0
12.994702,0.02794,0.0
13.008249,0.02794,0.0
13.01838,0.02794,0.0
13.024374,0.02794,0.0
13.035167,0.02794,0.0
13.04541,0.02794,0.0
13.058112,0.02794,0.0
13.064315,0.02794,0.0
13.073252,0.02794,0.0
13.092937,0.02794,0.0
13.094796,0.02794,0.0
13.104417,0.02794,0.0
13.112773,0.02794,0.0
13.123744,0.02794,0.0
13.132998,0.02794,0.0
13.147334,0.02794,0.0
13.153008,0.02794,0.0
13.164425,0.02794,0.0
13.172592,0.02794,0.0
13.18867,0.02794,0.0
13.193227,0.02794,0.0
13.204458,0.02794,0.0
13.212629,0.02794,0.0
13.225931,0.02794,0.0
13.232978,0.02794,0.0
13.246061,0.02794,0.0
13.252466,0.02794,0.0
13.267311,0.02794,0.0
13.278864,0.02794,0.0
13.285165,0.02794,0.0
13.295715,0.02794,0.0
13.306689,0.02794,0.0
13.313655,0.02794,0.0
13.324327,0.02794,0.0
13.337664,0.02794,0.0
13.34342,0.02794,0.0
13.355553,0.02794,0.0
13.364572,0.02794,0.0
13.372799,0.02794,0.0
13.385844,0.02794,0.0
13.39323,0.02794,0.0
13.403025,0.02794,0.0
13.413157,0.02794,0.0
13.423302,0.02794,0.0
13.434292,0.02794,0.0
13.443111,0.02794,0.0
13.453635,0.02794,0.0
13.464397,0.02794,0.0
13.475819,0.02794,0.0
13.483048,0.02794,0.0
13.49561,0.02794,0.0
13.5032,0.02794,0.0
13.515612,0.02794,0.0
13.523042,0.02794,0.0
13.539976,0.02794,0.0
13.545475,0.02794,0.0
13.555739,0.02794,0.0
13.568522,0.02794,0.0
13.5743,0.02794,0.0
13.582967,0.02794,0.0
13.596884,0.02794,0.0
13.603599,0.02794,0.0
13.615215,0.02794,0.0
13.624559,0.02794,0.0
13.632574,0.02794,0.0
13.647396,0.02794,0.0
13.653257,0.02794,0.0
13.66476,0.02794,0.0
13.672522,0.02794,0.0
13.685164,0.02794,0.0
13.693113,0.02794,0.0
13.704819,0.02794,0.0
13.71261,0.02794,0.0
13.724129,0.02794,0.0
13.735585,0.02794,0.0
13.744398,0.02794,0.0
13.75247,0.02794,0.0
13.763262,0.02794,0.0
13.773718,0.02794,0.0
13.786085,0.02794,0.0
13.794845,0.02794,0.0
13.804501,0.02794,0.0
13.812632,0.02794,0.0
13.824394,0.02794,0.0
13.83594,0.02794,0.0
13.847247,0.02794,0.0
13.852868,0.02794,0.0
13.864432,0.02794,0.0
13.873035,0.02794,0.0
13.884479,0.02794,0.0
13.892565,0.02794,0.0
13.905611,0.02794,0.0
13.918774,0.02794,0.0
13.922828,0.02794,0.0
13.935796,0.02794,0.0
13.945279,0.02794,0.0
13.953258,0.02794,0.0
13.964385,0.02794,0.0
13.975429,0.02794,0.0
13.983627,0.02794,0.0
13.994019,0.02794,0.0
14.003173,0.02794,0.0
14.014467,0.02794,0.0
14.025484,0.02794,0.0
14.033521,0.02794,0.0
14.043172,0.02794,0.0
14.053975,0.02794,0.0
14.064519,0.02794,0.0
14.07648,0.02794,0.0
14.084344,0.02794,0.0
14.094744,0.02794,0.0
14.103215,0.02794,0.0
14.116712,0.02794,0.0
14.124996,0.02794,0.0
14.135171,0.02794,0.0
14.143735,0.02794,0.0
14.156674,0.02794,0.0
14.163031,0.02794,0.0
14.174785,0.02794,0.0
14.183376,0.02794,0.0
14.194682,0.02794,0.0
14.20306,0.02794,0.0
14.21632,0.02794,0.0
14.223275,0.02794,0.0
14.234152,0.02794,0.0
14.243728,0.02794,0.0
14.254314,0.02794,0.0
14.264267,0.02794,0.0
14.275646,0.02794,0.0
14.284021,0.02794,0.0
14.295361,0.02794,0.0
14.304132,0.02794,0.0
14.316765,0.02794,0.0
14.324517,0.02794,0.0
14.336722,0.02794,0.0
14.343872,0.02794,0.0
14.356602,0.02794,0.0
14.367302,0.02794,0.0
14.373161,0.02794,0.0
14.383062,0.02794,0.0
14.393595,0.02794,0.0
14.405451,0.02794,0.0
14.414269,0.02794,0.0
14.425549,0.02794,0.0
14.432819,0.02794,0.0
